word,type,weight
# Пользовательский словарь для Semantic Analyzer
# Строки с # — комментарии
# Формат: слово,тип,вес (0-1, по умолчанию 0.8)

# Организации
Газпром,ORG,0.9
Сбербанк,ORG,0.9
Роснефть,ORG,0.9
Лукойл,ORG,0.85
Яндекс,ORG,0.9
ВТБ,ORG,0.85

# Сотрудники (увеличьте вес для ключевых персон)
Иван Иванов,PERSON,0.95
Мария Петрова,PERSON,0.9
Алексей Сидоров,PERSON,0.85
Иван Петров,PERSON,0.8
Мария Смирнова,PERSON,0.8
Алексей Кузнецов,PERSON,0.8
Сергей Иванович,PERSON,0.8
HR-отдел,ORG,0.7
IT-отдел,ORG,0.7

# Продукты и технологии
Платформа X,PRODUCT,0.7
Система Y,PRODUCT,0.7
Модуль Z,PRODUCT,0.65

# Документы и процессы
бюджетный запрос,FINANCE,0.8
квартальный отчёт,DOCUMENT,0.7
служебная записка,DOCUMENT,0.7
импортозамещение,TECH,0.6
цифровая трансформация,TECH,0.7
кибербезопасность,TECH,0.8
удалённый доступ,TECH,0.6
корпоративный портал,TECH,0.65
обучение персонала,HR,0.5
адаптация новичков,HR,0.5
кадровый резерв,HR,0.6
охрана труда,HR,0.5
логистика,PROCESS,0.6
складской учёт,PROCESS,0.6
инвентаризация,PROCESS,0.7
регламент,PROCESS,0.5
договор,LEGAL,0.7
дополнительное соглашение,LEGAL,0.8
исковая давность,LEGAL,0.6
